Title,Schedule,Description,Location,Phone,Email,Website
Miss Katie's Dance - Standish,Every Wednesday,Please visit the website for full information.,"Church Street, Standish, WIGAN, WN6 0JS",N/A,N/A,N/A
More Than Words,"Open Mondays, Tuesdays, Wednesdays and Fridays from 9am to 4pm, and Thursdays 9am to 6.30pm","Are you an aspiring actor or drama queen?  More Than Words is a not-for-profit community organisation in Wigan that supports children, young people and adults with disabilities and/or autism. We specialise in drama, music, sports and healthy living activities, but we also provide opportunities for young…","Unit 2 The Edge, Pottery Terrace, Wigan, Greater Manchester, WN3 5AB, 01942 735426",N/A,N/A,N/A
Music Service,Monday - Friday 8:45am to 5:00pm,"Our service supports children and young people to access a wide range of music making opportunities both in and outside of the classroom through: Instrumental music tuition Curriculum Support for Schools  Bands, Choirs, Orchestras and Ensembles CPD for teachers  Large Scale Vocal Projects Opportunities for…","Park Rd, WIGAN, LANCASHIRE, WN2 3RY",N/A,N/A,N/A
The Octagon Youth Theatre,"Tuesday, Wednesday and Saturday",We run over 10 Youth Theatre sessions at the Octagon with different groups catering from ages 5 to 21 from weekend to after school sessions. This is a great opportunity for young people with an interest in drama and theatre to engage creatively with peers…,"Howell Croft South, Bolton, BL1 1SB",N/A,N/A,N/A
One Vision Media,N/A,"At One Vision Studios we provide an alternative community based training and activities programme in film and media education; taking a person centred, needs led approach to learning and support that will enable individuals to make informed choices about themselves and their education. For full…","Hope Enterprise Centre, Wigan, WN5 0PN",N/A,N/A,N/A
Raynor Dance Academy,N/A,"All our teachers are qualified by either the Royal Academy of Dance (RAD) or the Imperial Society of Teaching of Dance (ISTD). Our classes include Ballet, Tap, Modern, Jazz, Limbering (and Zumba but not at our studios).  Please visit the website below to find out…","Cross Street, Standish, WIGAN, WN6 0HQ",N/A,N/A,N/A
St Peters Pavilion,N/A,"St Peters Pavilion Limited, was formed in 2005. The founder members, Hindley St. Peter's Church, Hindley St. Peter's Cricket Club, Hindley ARLFC, St. Peter's Boys' Brigade and St. Peter's Girl Guides came together to work towards providing a much needed facility for the town of…","Hurst St, Hindley, WN2 3DN",N/A,N/A,N/A
Susan Kielb School of Dance,N/A,Please visit the website below for full information and to contact the school.,"Skull House Lane, Appley Bridge, Wigan, Lancashire, WN6 9DR",N/A,N/A,N/A
Tina's Dance Studios,N/A,"Children love to dance.  At first it's about learning new moves, making new friends and keeping fit and healthy, but here at Tina's dance soon becomes part of our lives. We are dedicated, hard working and energetic. We are motivated, inspired and encouraged. We concentrate on technique…","Throstlenest Avenue, Springfield, WIGAN, WN6 7AS",N/A,N/A,N/A
Tyldesley Little Theatre,Please see website for details.,"We are an amateur society, run totally by volunteers, bringing live theatre to you at a reasonable price. We usually perform several plays a year along with our traditional family pantomime. Our plays are varied, offering a wide range of entertainment from comedy and thrillers…","Lemon Street, Tyldesley, MANCHESTER, M29 8HT",N/A,N/A,N/A
Wigan Little Theatre,N/A,"Wigan Little Theatre is a voluntary organisation, run by and for anyone interested in providing high quality, wide ranging, traditional and innovative theatre, accessible to all.  To get involved or to find out whats on please visit their wesbite provided.","Crompton Street, Wigan, WIGAN, WN1 3SL",N/A,N/A,N/A
Wigan Youth Zone,"Wigan Youth Zone is open 7 days a week, offering sessions for young people every weeknight, over the weekend and school holidays.","What is Wigan Youth Zone? Wigan Youth Zone is a purpose-built, state-of-the-art youth facility in Wigan town centre which opened in June 2013. It offers young people from across Wigan the opportunity to meet friends, have new experiences, learn new skills and access the support…","Parsons Walk, Wigan, Greater Manchester, WN1 1RU, 01942 612061",N/A,N/A,N/A
Wigan Youth Zone - Junior Club,"Tuesdays evening and Saturday, Sunday afternoons from 11:00am",Wigan Youth Zone Junior Club offers our youngest members the most exciting and innovative play and leisure programme around. Children can access and experience a vast range of activities – all within the safety of our huge purpose-built centre. Please visit their website for full…,"Parsons Walk, WIGAN, WN1 1RU",N/A,N/A,N/A
