Title,Schedule,Description,Location,Phone,Email,Website
Leigh Spinners Mill,N/A,"Leigh Spinners Mill is a former cotton mill in Leigh. It has been repurposed as an arts and community heritage centre, with lots of independent businesses residing inside. There are 4 floors of businesses, including sports facilities, a retail and enterprise floor, the only computer…","Leigh Spinners Mill, Park Lane, Leigh, Lancashire, WN7 2LB",N/A,N/A,N/A
Living Faith Church,Sunday at 11am,"Living Faith Church meet every Sunday at 10:30am for a service lead by Bishop Steven Lyn Evans.  This service is followed by coffees, teas and treats.  Bishop Steven also speaks on Living Faith Church Facebook Live every Wednesday at 7:30pm, follow our page for more…","25, Church Street, Orrell, Wigan, WN5 8TG",N/A,N/A,N/A
Lowton St Mary’s Community Hall,N/A,Please visit the webiste to see what activities are taking place at Lowton St Mary’s Community Hall,"77, Newton Road, Lowton, Warrington, WA3 1EL",N/A,N/A,N/A
Marsh Green Community Centre,N/A,"We are a totally independent charity based in the Marsh Green area of Wigan run completely by volunteers.  We provide a huge service for MS sufferers in our borough. Our centre helps with advice, therapies, information and lots more. Facilities Our Accessible Gym We have…",N/A,N/A,N/A,N/A
Norley Hall Community Centre,N/A,"This Centre is in the Pemberton area of Wigan and easily accessible from the M6 motorway, while still close to the town centre and Robin Park. Fully accessible we offer Wi-Fi and on-site parking. Opposite the centre is a row of local shops should you…",N/A,N/A,N/A,N/A
The One House Community Centre,"Monday, Wednesday, Friday and Saturday mornings 9am till 12 midday","We are an entirely volunteer run Community Centre with the following activities: Monday, Wednesday, Friday and Saturday mornings, we open as Community Cafe between the hours of 0900 and 1200 (last orders for food is 1130). 1st Monday of the month, the Centre is used…","45 Haigh Road,, Aspull,, Wigan, Aspull, Wigan, Greater Manchester, WN2 1RR",N/A,N/A,N/A
Peak - Outdoor Education Alternative Provision,Open Monday - Friday 09:00 - 17:00. Students can come to us for no more than 4 consecutive days per week.,"At Peak, our Development Programme offers an educational approach for children with SEND that leverages adventure-based activities and experiences to enhance the learning process for young people who find engagement in mainstream education challenging for various reasons. Peak sits within the Keys Group https://www.keyschildren.co.uk/ , meaning that…","Trafford Watersports Centre, Rifle Road, Rifle Road, Sale, Greater Manchester, M33 2LX",N/A,N/A,N/A
Shakerley Community Centres,N/A,Shakerley Community Centre offers a range of services and groups for all ages.,"8, Cumberland Avenue, Tyldesley, Manchester, M29 8FU",N/A,N/A,N/A
St John's Street Playing Fields,N/A,"We are developing the facility in Abram, Wigan to provide a modern community facility that will benefit the Borough of Wigan and beyond...","St John's Street, Abram, Wigan, Lancashire, WN2 5RH",N/A,N/A,N/A
Standish Community Centre,N/A,At the Standish Community Centre which is on Moody Street in Standish there is something for everyone! Come and join in our many activities. A very warm welcome is offered to all. Please visit are Facebook page below for more information.,"Moody Street, Standish, WIGAN, WN6 0JY",N/A,N/A,N/A
Stubshaw Cross Community & Sports Club,N/A,"Varies activities and events at Stubshaw Cross Community & Sports Club, please visit their Facebook page for information and contact details","Stubshaw Cross Labour Club, Walter Street, Ashton-in-makerfield, Wigan, WN4 8TP",N/A,N/A,N/A
Sunshine House Community Centre,N/A,"Located next to Scholes Precinct the Centre is bright, open, airy and well-used. It comprises a large community area, meeting rooms and offices. Activities for every sector of the community can be found taking place in this Centre.","OFF Vauxhall Road, Scholes, WIGAN, WN1 3SD, 01942 820026",N/A,N/A,N/A
Wigan and Leigh Community Charity,Monday to Friday,"We provide support, including: - Accommodation - This is via our 2 main hubs at Platt Bridge Community Zone (Abram Ward) and Tudor House (Hindley) - Community Organising training - Education - We support the provision of Social Enterprise education to both Primary Schools and…","81 Platt Bridge Community Zone, Embrace Wigan And Leigh Ribble Road, Ribble Road, Platt Bridge, Wigan, Wigan, Greater Manchester, WN2 5EG",N/A,N/A,N/A
Wigan Cosmos Football Club,N/A,"Wigan Cosmos Football Club is a well-established not for profit sports & local community Football Club and a trusted partner of Wigan Council and the Lancashire FA we have not only attained the FA Charter Standard in 2006 but also maintained each year thereafter, showing…","St John's Street, Abram, Wigan, Lancashire, WN2 5RH",N/A,N/A,N/A
Wigan St Judes ARLFC,N/A,Wigan St Judes was formed in 1980 to provide a much needed sporting facility in the Worsley Mesnes and Poolstock area of Wigan. It began with 20 children and now has over 300 players from age 7 through to adults both men and women. On…,"Keats Avenue, Parsons Meadow, Poolstock, Wigan, WN3 5UB",N/A,N/A,N/A
