Title,Schedule,Description,Location,Phone,Email,Website
Rowan Tree Primary School,N/A,"Welcome Rowan Tree Primary is a community special school for pupils aged 4 – 11 years. All pupils have an Educational Health Care Plan and require highly specialist teaching due to their severe and complex needs. At present, there are 116 pupils on roll. We provide a…","Greenhall Close, Atherton, Manchester, M46 9HP, 01942 883928",N/A,N/A,N/A
Runshaw College,N/A,"As a student at Runshaw College, you are at the heart of everything we do. Our simple ambition is that you are happy and fulfilled whilst achieving your dreams and ambitions during your time with us. We aim to provide: the very best teaching exceptional pastoral care, provided by our team of specialist personal tutors…","Langdale Road, Leyland, PR25 3DQ, 01772 642020",N/A,N/A,N/A
Secondary Schools,N/A,Here you can find information about applying for your child’s secondary school: National Offer Day Applying for secondary schools Late applications Church Forms Select the link below for full details. Secondary School Admissions If you are new to the area and are unsure where your local…,N/A,N/A,N/A,N/A
St John Rigby College,N/A,St John Rigby College is a Catholic sixth form college with a distinctive mission and ethos.  We welcome applications from all students who respect our mission and who are happy to be educated within a Christian environment. We encourage all students to be the best…,"Gathurst Rd, Orrell, Wigan, WN5 0LJ, 01942 214797",N/A,N/A,N/A
St Vincent's School. A Specialist School for Sensory Impairment and Other Needs,N/A,"Since 1850 we have had a tradition of excellence in the education and care of children with a visual impairment. We specialise in providing an all-round education maximising academic achievement, personal development, independence and self worth. We cater for pupils from Foundation Stage to Post 16, offering day, extended…","Yew Tree lane, West Derby, Liverpool, L12 9HN",N/A,N/A,N/A
StedyChefs Learning Centre,"StedyChefs Learning Centre Courses run Monday, Tuesday, Wednesday and Thursday from 9:30AM - 3:30PM","StedyChefs Learning Centre is a day service available for adults with disabilities aged 18+ in the Liverpool Area. Based at 330 Rice Lane, Walton, Liverpool, L9 2BL. The premises of StedyChefs is based on one-floor, and is wheelchair accessible.  Students will follow different modules…","330 Rice Lane, Walton, Liverpool, Merseyside, L9 2BL, 07400897397, 01519361968",N/A,N/A,N/A
STEPS.CIC,Available Monday to Friday 9:00am - 4:00pm,"We are a vibrant, professional and forward thinking service, where the achievement and personal development of each individual is recognised and celebrated. We believe that all of our attendees deserve the very best opportunities that enable them to reach their full potential. Please visit their…","Hope Enterprise Centre, Wigan, WN5 0PN",N/A,N/A,N/A
Supported Internships,N/A,"The programme, based primarily at an employer’s premises, is intended to enable young people to achieve sustainable, paid employment by equipping them with the skills they need for work through learning in the workplace. For full information please visit the website provided.",WN1 1AZ,N/A,N/A,N/A
Targeted Education Support Service,N/A,"We are specialist, qualified and experienced teachers and educational practitioners who work with schools to support children and young people (aged 4-16) when learning progress, social, emotional or mental health are causing concern. We work with every school in the borough. What we do Provide…",WN7 1SG,N/A,N/A,N/A
Together Trust,N/A,"The Together Trust is one of the North West’s leading disability charities. We help children, adults, parents and carers, delivering individual care, support and education to thousands of people each year.  At the Together Trust, our vision is a society where people thrive because they are…","Schools Hill,, Cheadle,, Cheshire, SK8 1JE, 0161 283 4848",N/A,N/A,N/A
Understanding autism training for parent/carers,N/A,"We offer a range of free training and support sessions aimed at parents and carers whose children have received an autism diagnosis. Our learning programme is designed to empower families with the knowledge, skills and strategies to support and understand their child’s autism. Some sessions…",N/A,N/A,N/A,N/A
West Lancashire College,N/A,"Based in the heart of Skelmersdale, West Lancashire College offers students a variety of courses to assist them in achieving their future career. West Lancashire College is a small, community based college, forming part of the NCG Group which is a large and successful national…","Northway Campus, College Way, Skelmersdale, Lancashire, WN8 6DX, 01695 52300",N/A,N/A,N/A
Wigan and Leigh College,N/A,"We have been providing quality education and training for the people of Wigan and beyond since 1857. We offer exceptional teaching, support and guidance in a range of academic, vocational, technical and apprenticeship programmes. We offer significant progression routes alongside key employability skills, preparing you…","Parson's Walk, Wigan, WN1 1RS, 01942 761 600",N/A,N/A,N/A
Wigan Independent SEND School,N/A,"Expanse WISS provides places for a maximum number of 31 students and consequently is a small, personalised and nurturing environment for young people aged 11-16 with Special Educational Needs and Disabilities, Social, Emotional Mental Health issues and for those young people who have found a mainstream…","Tyrer Ave, Worsley Mesenes, Wigan, Greater Manchester, WN3 5XE",N/A,N/A,N/A
Willow Grove Primary School,N/A,"At Willow Grove School we continually strive to provide the very best for your children and their social, emotional and mental health needs.  This has meant that we have continued to develop our offer in the school.  Through research inquiry, intensive CPD and through seeking the…","Willow Grove, Ashton-in-Makerfield, WIGAN, WN4 8XF, 01942 727717",N/A,N/A,N/A
Winstanley College,N/A,"Winstanley College is one of the country's best Sixth Form Colleges. We cherish our culture of putting students at the centre of all we do, and we are proud of our reputation for academic excellence. Our standards for students are high, and you'll receive the…","Winstanley Road, Billinge, WN5 7XF, 01695 633244",N/A,N/A,N/A
