Title,Schedule,Description,Location,Phone,Email,Website
Colliers Wood,Open all year round,"Over 30 years ago this wood was an active coal mine with vast spoil heaps bordering the local houses. The 130 hectare woodland has since been dramatically landscaped to create open spaces, wildflower meadows and great views across the borough to Winter Hill, Astley Green…","Leigh, Wigan, WIGAN, WN7 2TR",N/A,N/A,N/A
Crawford's Wood,Open all year round,"This is one of over 1,000 woods across the UK cared for by the Woodland Trust. Crawfords wood occupies 49.5 acres of land and on the west side of the village of Aspull and the site is mostly flat. Crawford's wood trees was planted in…","Wigan Road, Aspull, WIGAN, WN2 1DU",N/A,N/A,N/A
Crazy Golf - Haigh Hall,N/A,"The course is open between Easter and October - 11am to 4pm weekends during term time, and daily during school holidays. A round of Crazy Golf costs £1 per player. Please visit the website provided to find out more.","School Lane, Haigh, Wigan, WN2 1PE",N/A,N/A,N/A
Firs Park,N/A,"Firs Park was developed from wastelands in 1921. The land and park were a gift to the local community from Sir John Holden of Tunnicliffe and Hampson, owners of the Firs Mills. The 15 acre park has retains its original layout. Features include an outdoor…","Firs Lane, Leigh, LEIGH, WN7 5BL",N/A,N/A,N/A
FootGolf - Haigh Hall,N/A,"FootGolf blends two of our most popular sports and adds in a dash of fun. No plus fours are needed, no studded boots or shinpads. Simply follow the rules of golf and let your feet do the talking. If you can kick a ball you…","School Lane, Haigh, Wigan, WN2 1PE",N/A,N/A,N/A
Friends of Standish Recreation Ground,N/A,"The Friends of Standish Recreation Ground are a voluntary group set up to help protect and care for the recreation ground on Southlands Avenue, Standish, known locally as ""The Rec"".  The aims of the group include: Helping maintain and improve the Rec, Encouraging the use…",N/A,N/A,N/A,N/A
Friends of Stockley Park,N/A,"The Friends of Stockley Park are a small volunteer group who are passionate about looking after our local park. We work in partnership with Wigan Council to maintain and enhance our park, and continue to develop it to meet the needs of the community. Our…","Stockley Drive, Appley Bridge, Wigan",N/A,N/A,N/A
Go Ape,N/A,"High up in this open, spacious site, our Treetop Challenge offers the perfect blend of blood-pumping action and beautiful country views. With 13-metre-high platforms and a brilliant free-falling Tarzan Swing, this is the only Go Ape location in the UK to feature a zip wire…","Great House Barn, Rivington Lane, Horwich, Bolton",N/A,N/A,N/A
Haigh Hall and Country Park,Open all year round.,Facilities include: Haigh Hall Venue Nature trails and Woodlands Craft Gallery which holds craft classes Playground for children of all ages Crazy Golf Adventure Activities are available for groups through the Wardens Conservation Task Days Haigh Hall Golf Complex Haigh High Ropes Kitchen Courtyard Open…,"School Lane, Haigh, WIGAN, WN2 1PE",N/A,N/A,N/A
High Ropes - Haigh Hall,N/A,Haigh High Ropes is the north west's favourite aerial adventure for all the family. Start with our low ropes course to get your head for heights and then try the high ropes challenge which will test even the biggest daredevil in the family. The courses…,"School Lane, Haigh, Wigan, WN2 1PE",N/A,N/A,N/A
Jubilee Park,N/A,"Jubilee Park on the way to Ashton is one of the most beautiful and well kept small parks in the borough. Facilities include a pavilion and toilets, tennis and basket ball courts, grass pitches play areas, woodland area and a formal flower park.","Wigan Road, Ashton-in-Makerfield, WIGAN, WN4 9BH",N/A,N/A,N/A
Kirkless Wood,Open all year round,"Kirkless Wood lies to the north west of the village of Pennington Green near Wigan, Greater Manchester. The site was acquired and planted by the Woodland Trust in 1997. The woodland extends existing secondary woodland known as Woodshaw Ruck, which is owned by Wigan Metropolitan…","Wigan, WIGAN",N/A,N/A,N/A
Lady Mabel's Wood,N/A,"This is one of over 1,000 woods across the UK cared for by the Woodland Trust. Lady Mabel's Wood is a 65 acre woodland close to the centre of Wigan and next to Haigh Hall Country Park. The site came into Woodland Trust ownership in…","Haigh, WIGAN",N/A,N/A,N/A
Leyland Park,N/A,"The Leyland Park is a beautiful and well kept small park with facilities including playing fields, playground, bandstand, tennis courts and football pitches.","Park Road, Hindley, WIGAN, WN2 3RX",N/A,N/A,N/A
Lilford Park,N/A,"Lilford Park was originally created in 1885 on 9 acres of land, in later years this was extended to over 51 acres. The extension included a large area of Bedford Wood and additional fields. The park includes a play area for all children aged 12…","The Avenue, LEIGH, WN7 1JB",N/A,N/A,N/A
Low Hall Park Nature Reserve,N/A,"Low Hall (LNR) is located right next to Amberswood and, although smaller, is also a very important link in the Wigan Borough wildlife corridor. It has a mixture of woodland and wetland and is rich in wildlife and habitats. The area is a haven for…","Liverpool Road, Hindley, WIGAN, WN2 3HN",N/A,N/A,N/A
Orrell Water Park,Open all year round.,"A nature reserve and coarse fishery, Orrell Water Park is open all-year round for residents, visitors and day ticket fishing. Beautiful woodland surrounds two disused reservoirs and is home to a diverse group of birds and insects, with over 100 bird species and a wide…","Lodge Road, Orrell, WIGAN, WN5 7AT",N/A,N/A,N/A
Pennington Flash Country Park,Open all year round.,"Pennington Flashes (LNR) is part of an impressive country park. The lake and surrounding marshland are home to a diverse group of mammals, birds and insects, including 5 RSPB red listed birds and the protected water vole. The main nature reserve features a number of…","Off St. Helens Road, LEIGH, WN7 3PA",N/A,N/A,N/A
Pennington Hall Park,Open all year round,"A pretty community park with play areas, tennis courts, bowling greens and a band stand. Events take place in the park throughout the year, including a popular Last Night of the Proms event in September.","St Helens Road, LEIGH, WN7 3UA",N/A,N/A,N/A
Scotsman's Flash,N/A,Scotmans Flash Activity Centre is located just outside Wigan town centre. Learn a wide range of water sports or take your skills to the next level.   Scotmans Flash Activity Centre is now under the management of Wigan Council.  Here you can take part in a…,"Sport and recreation, WN3 5HJ",N/A,N/A,N/A
Sensory Rooms,Monday to Friday 9 till 4pm,"Embrace have two sensory rooms at Platt Bridge Community Zone, Platt Bridge, Wigan. Our sensory rooms provide specialised equipment to support relaxation and stimulation in a quiet safe space. Space Room Explore darkness, stars and lights in our space room – includes relaxation bed, star…","Platt Bridge Community Zone, 81 Ribble Road, Platt Bridge, Wigan, WN2 5EG, 01942 233323",N/A,N/A,N/A
Three Sisters Local Nature Reserve (LNR),Open all year round.,"The Three Sisters (LNR) is a wildlife wetland reserve providing the local community and visitors a gateway into the wider Wigan Flashes Nature reserve. Extensive surrounding footpaths are a haven for walkers, cyclists and horse riders. Picnic and play areas can be found on site together…","Three Sisters Road, Bryn, Ashton-in-Makerfield, WIGAN, WN4 8DD",N/A,N/A,N/A
Viridor wood,Open all year round,"From Colliery to community woodland, with large open spaces, great views, sculptures and car parking Viridor Wood is an ideal way to spend an afternoon. Linking to the Three Sisters Country Park and the Leeds and Liverpool Canal you can explore further afield from here.…","Bolton Road, Bryn Gate,, Ashton-in-Makerfield, WIGAN, WN4 8TJ",N/A,N/A,N/A
Walmsley Park,Open all year round,"Walmsley Park has:  Area woodland and wetlands habitats    Extreme sports skate park which feature a mini-ramp, a Wembley gap, flatbank, quarter-pipes, jumpbox, stepped grind-box, grind boxes, a driveway, hipped flatbank, and a hipped quarter-pipe.   A children’s play area.","Manchester Road, Ince, WIGAN, WN2 2TA",N/A,N/A,N/A
Wigan Flashes,Monday to Friday 9am - 4.30pm,"Wigan Flashes (LNR) is a highlight of any visit to Greenheart. The area offers its surrounding communities countryside on their doorstep, enabling residents and visitors to enjoy rich wildlife and diverse habitats within easy reach of Wigan’s town centre. Please select the link provided for…",WN3 5HN,N/A,N/A,N/A
Wigan Flashes Conservation and Community Group,N/A,Wigan Flashes Nature Reserve is part of  the Flashes of Wigan and Leigh National Nature Reserve.  Our group works closely with Lancashire Wildlife Trust to help maintain and improve Wigan Flashes Nature Reserve for both wildlife and the public. We help with events to promote…,"Welham Road, WN3 5PA",N/A,N/A,N/A
Worthington Lakes Country Park,Open every day of the year,"Worthington Lakes lie within the Douglas Valley between Wigan to the south and Chorley to the north, with road access off the A5106. It is owned and managed by United Utilities. Picnic area, car parking, and wheelchair friendly footpaths (some paths are suited for assisted…","Chorley Road, Standish, WIGAN, WN1 2XN",N/A,N/A,N/A
