Title,Schedule,Description,Location,Phone,Email,Website
Corrina McGoldrick,N/A,"We are a newly established service comprising of two highly qualified and experienced childcare professionals. We have over thirty years childcare experience between us gained within nursery settings. We aim to provide quality education and experiences in a homely environment where we will encourage independence,…","Warrington, WA3",N/A,N/A,N/A
Danielle Ashurst,N/A,"We are offering home-based childcare with flexible morning activities at playgroups, swimming baths, parks etc. thus allowing the children social experiences as well as the secure homely environment we have provided to our own children for 17 years. The children can access at any time…","Tyldesley, Manchester, M29, 0161 703 7557",N/A,N/A,N/A
Danielle Renshaw,N/A,"Quotes taken from most recent Ofsted inspection: ""Children are safe and well cared for in this welcoming environment, which is modelled on a small nursery. They demonstrate secure attachments with the childminder and her two full-time assistants. Adults work together very effectively to meet children's…","Wigan, WN2, 07864 196266",N/A,N/A,N/A
Dawn Clancy - Poppins Childminding,N/A,"I have been working with children for over 30 years - Firstly as a Nanny, then as a Nursery Nurse and then for 20 years as a Primary School Teacher. Now I'm proud to be an Outstanding Ofsted Registered Childminder, in Tyldesley. I live 0.9miles…","Tyldesley, Manchester, M29, 07976 915347",N/A,N/A,N/A
Dawn Clarke,N/A,"My childminding setting is based in Astley and only a short walk to the local school, Garrett Hall Primary School, where I drop off and pick up my childminding children. I care for children who are between 3 months to 12 years and provide a…","Tyldesley, Manchester, M29, 07901 780739",N/A,N/A,N/A
Dawn Hornby,N/A,"I have a warm, cosy setting in which I strive to give the best service I can to the children and parents. I have 23 years’ experience and have watched many children grow into lovely young adults. I have a dog and a cat which the…","Tyldesley, Manchester, M29, 07811798151",N/A,N/A,N/A
Donna's Childminding Services,N/A,"Free 15 hours Government funding for eligible 2-year-old's and all 3-year-old's and 30 hours for eligible 3-4-year-old's. I have been a registered childminder for over 17 years. I live in Atherton, close to central train station, in a semi-detached house with my Husband and 2…","Atherton, MANCHESTER, GTR Manchester, M46, 01942 895 506, 07963 397399",N/A,N/A,N/A
Edyta Sommer,Monday - Friday 7:00am - 6:00pm,"My name is Edyta Sommer. I'm Polish and I live with my partner Sylwester and my two children, Liliana who is 12 years old and Xavier who is 13 years old. I have lived in Lowton since 2010.I live close to local schools: St Catherine's…","Lowton, Greater Manchester, WA3, 07928933109",N/A,N/A,N/A
Elane Ramos,N/A,"I am a registered childminder based in Leigh. I provide healthy and nutritious meals and snacks, trips out to the parks, libraries, museums, etc. I also provide activities focusing on the 7 areas of the EYFS (Early Years Foundation Stage) and a home-from-home environment that…","Leigh, Leigh Wigan, Wigan, WN7, 07729735996",N/A,N/A,N/A
Elizabeth Henderson,N/A,"Home-from-home atmosphere, mother and toddler groups, trips to the park. I believe a young child (under school age) needs routine, love and security. This is not a nursery, I am a Mum and a Grandma. I feel a caring adult is more important than equipment…","Winstanley, Wigan, WN3",N/A,N/A,N/A
Elizabeth Jane Walsh,N/A,N/A,"Atherton, Manchester, M46",N/A,N/A,N/A
Emma Horrobin,N/A,"Ofsted outstanding provider. We are a family of 6:myself, my husband, my 3 children aged 16, 13 and 13 and my step-son aged 15.   I provide a welcoming, caring and nurturing home-from-home setting where every child is treated as a unique individual. Within my setting…","Wigan, WN3, 07534907570",N/A,N/A,N/A
Emma Rudd,N/A,"I have been childminding since 2006, the children in my care benefit from a well equipped playroom, large garden with lots of toys, trips to the farm, playcentres, Martin mere and regular trips to the park, for the older children I have a wii, play…","Standish, Wigan, WN6, 01257 432510, 07342633658",N/A,N/A,N/A
Emma’s Childminding,N/A,"My name is Emma, I am an Ofsted registered Childminder. I live in Tyldesley with my husband and our daughter who is 12. We have a very friendly 1-year-old dog. I have been Childminding for 11 year,s caring for children from birth to high school.…","Tyldesley, M29, 07841 532748",N/A,N/A,N/A
Francine Williams,N/A,"I provide a happy, fun and nurturing environment for your child - one that is safe, secure and stimulating. All children are individuals and the wide range of activities I provide are planned and well thought out so that the children have an active part…","Lowton, Warrington, WA3, 01942 715918, 07834 908 159",N/A,N/A,N/A
Gemma Simms (Little Gemms),N/A,"I have 3 children of my own aged 19, 15 and 12. I understand how important it is to have the right person look after your pride and joy in a homely, fun environment. I left school and trained as a nursery nurse, then worked…","Abram, Wigan, WN2, 07734915065",N/A,N/A,N/A
Gems Childminding (Gemma Mack),N/A,"My name is Gemma Mack and I live on Cranfield Road, Hawkley Hall, Wigan. Just a small walk away from the canal and other woodland areas for some great adventures. I live in a detached house with my wonderful partner who is also my assistant,…","Hawkley Hall, Wigan, WN3, 07445874322, 01942 732226",N/A,N/A,N/A
Giggles Childminding,N/A,"I am a Childminder living in the Holden Road area of Leigh. I have been childminding since 2010, my business name is Giggles Childminding. I live with my Husband and our 2 sons, we have 2 very friendly bulldogs called Seth and Ada and a…","Leigh, WN7, 07981 218399",N/A,N/A,N/A
Gillian Yates,N/A,"I have 23 years of experience. The service I offer is friendly, caring and fun. We do lots of craft activities at home, dance to music, sing nursery rhymes, lots of play and read books. We visit local parks, go to the library, attend Mums…","Tyldesley, Manchester, M29",N/A,N/A,N/A
Golden Sunflowers Childminding,N/A,"I live with my husband Mark, we have 3 adult daughters and 4 grandchildren and a family-friendly pet dog. I have worked in childcare and education settings for over 20 years with children aged 2 years to 11 years. I have specialised in pastoral support,…","Wigan, Greater Manchester, WN2, 07535813425",N/A,N/A,N/A
Hannah Mackintosh,N/A,"I have been an Ofsted Registered Childminder since 2007. I love the job I do, looking after all the children I mind. I offer a caring, safe and secure, home-from-home but fun learning environment for all my children to grow and play. I live on a…","Leigh, WN7, 07810 402154",N/A,N/A,N/A
Happy Days Childminding,N/A,I have been a Childminder for 9 years and I have my own 2 children who are 13 and 10. I promote healthy eating by offering a variety of snacks. We get out and about in the community daily and do lots of activities at…,"Leigh, WN7, 07706985696",N/A,N/A,N/A
Hawthorn House Childminding,N/A,"Hi, I'm Catherine and I have worked in Childcare for 20+ years, working in nurseries as well as a NVQ childcare assessor.  I am opening up a childminders in the next few months. I am catering for babies through to 5 years and I can…","Orrell, Wigan, WN5",N/A,N/A,N/A
Hazel Hughes,N/A,"My name is Hazel Hughes, I have been a Childminder for the past 17 years in the Orrell/Billinge area of Wigan. I work closely with the 2 local schools - Newfold Community Primary and St James' Catholic Primary, both situated on St James Rd in…","Billinge, Wigan, WN5, 07769262208",N/A,N/A,N/A
Heaven Sent Childcare,N/A,"I have been a registered childminder for 19 years. I have 1 child of my own who is 17 years old. I have an NVQ level 1, 2 and 3 and keep up to date with on-going courses. I am Ofsted registered and a Pacey…","Ince, WIGAN, WN3, 07976 782089, 01942 239792",N/A,N/A,N/A
Helen Dickinson,N/A,I provide childcare in a homely environment and have done so for the past 20 years. I care for children from under 1 up to 11 years old. All aspects of their development is catered for in a loving environment focusing on the child and…,"Winstanley, Wigan, WN3, 07983 632552",N/A,N/A,N/A
Helen Hewitt,N/A,"Graded 'Outstanding' in most recent Ofsted inspection. Information taken from latest Ofsted report: ""Arrangements for assessments are robust. The childminder has an excellent understanding of what children know and can already do. This helps her to plan fun and exciting experiences that motivate children to…","Marus Bridge, Wigan, WN3, 07940369807",N/A,N/A,N/A
Jacqueline Seddon,N/A,"Hi, my name is Jacky. I have been a registered childminder since 1991 and enjoy every aspect of the job. My main priority is the welfare and development of every child as an individual. I provide stimulating play, activities and outings daily, working with each…","Atherton, Manchester, M46, 01942 882473, 07773 881 603",N/A,N/A,N/A
Janice Gibney,N/A,"I have been childminding since 1999 and have worked with children for nearly 30 years being NNEB trained. I have a purpose built playroom which is equipped for all ages of children, an outdoor play area which is safe and secure. I am a caring…","Tyldesley, Manchester, M29, 01942 575848, 07701 062763",N/A,N/A,N/A
Jayne McNish,N/A,Please contact the Childminder directly for more information.,"Tyldesley, Manchester, M28, 0161 799 5244, 07748 131316",N/A,N/A,N/A
Jennifer Taylor,N/A,"I live with my Husband, 15-year-old son and 10-year-old daughter. I aim to provide a clean, safe, caring environment in a relaxing family home. I provide a full range of resources from toys, books, paints, play dough etc. I have a fully contained outdoor play…","Lowton, Warrington, WA3, 01942 270178, 07899 695040",N/A,N/A,N/A
Joanne Lawrie,N/A,"I am a qualified Nursery Nurse and have worked with children for the past 20 years. I became a childminder after having my own daughter 11 years ago. I live with her and my husband opposite Ashfield Park where we go and play, have picnics…","Standish, Wigan, WN6, 01257 421 265, 07772 762421",N/A,N/A,N/A
Joanne Paxton,N/A,"I have 18 years experience of Childminding. I have a 5-year-old son and care for younger children. I have a playroom and large back garden with outdoor toys. In the school holidays, we go to parks, trampolining, swimming, cinema, local farms and indoor play areas. I…","Astley, MANCHESTER, M29, 01942 702850, 07852 910 635",N/A,N/A,N/A
Joanne Waywell,N/A,"I have over 17 years experience in childcare and been the manager of a Private Day Nursery for the last 8 years. It was a small, family run nursery where I have been lucky enough to still spend time with children and lead by example…","Hindley, Wigan, WN2, 07874 807591",N/A,N/A,N/A
John Charles Shone,N/A,This Childminder has not added any information to their page. Please contact them on the details below for more information.,"Tyldesley, Manchester, M29, 01942 886810",N/A,N/A,N/A
Josie Smith,N/A,I have been a childminder for over 30 years. I endeavour to provide a home from home environment where children are encouraged to develop within their own needs and abilities. The children have access to their own indoor and outdoor play areas which are stocked…,"Leigh, WN7, 01942 607726, 07901 836376",N/A,N/A,N/A
Judith Richardson,N/A,"I have been a registered Childminder since 2010 and I work alongside my husband, Ben. We live in a lovely smoke-free, pet-free home. We offer a very homely service and the children are extremely happy and comfortable with us. We have great relationships with our…","Hindley Green, Wigan, WN2, 07912 227520, 07912 227520",N/A,N/A,N/A
Julia Davies,N/A,I am based in Shevington and drop off and pick up from Millbrook primary school. I offer full and part-time places for children aged 0-5 as well as before and after-school care.  I work from 7:30am-5:30pm but am happy to discuss times outside of these…,"Shevington, Wigan, WN6, 07505664104",N/A,N/A,N/A
Julie Coop,N/A,"I have completed my NVQ Level 3 in Children's Care, Learning and Development. I have also completed a Paediatric First Aid course and Children’s Safeguarding course. As these are mandatory courses, they are regularly kept up to date and renewed every 3 years as required. I…","Winstanley, WIGAN, Lancs, WN3",N/A,N/A,N/A
Julie Dutson,N/A,"I take care of children of school age for breakfast and after-school club. I can also offer holiday care, please contact me regarding this. I have experience of working with disabled children, and children with autism. Any child is welcome in my home. My home is…","Tyldesley, Manchester, M29, 01942 875564, 07512 785570",N/A,N/A,N/A
Julie Jackson,N/A,"Hi, my name is Julie and I live in the Bedford area of Leigh. I have 3 children, my 2 sons are 28 and 26, both working and living away from home and my 21-year-old daughter is studying languages at University in Korea. We have…","Leigh, Lancs, WN7, 07932 892547",N/A,N/A,N/A
Justine Brown (Happy Hut Childcare),N/A,"Hello, my name is Justine and I am an Ofsted registered Childminder and mother of three. I have been fortunate to have worked as an early years practitioner for over 20 years, as a childminder and in both nursery and reception classrooms. Alongside my daughter…","Ashton-in-makerfield, Wigan, WN4, 07368297571",N/A,N/A,N/A
Karen Lyon,N/A,"I have been married for 33 years and have 2 lovely daughters aged 22 and 16. I offer a fun loving, home from home environment, love and nurture all of the children in my care and treat them as my own. My sole aim is…","Appley Bridge, Wigan, WN6, 01257 252338, 07766 270586",N/A,N/A,N/A
Karen's Childminding,N/A,"I’ve been childminding for nearly 9 years now and have a well-equipped playroom for my children. I do the daily school run to and from the local primary school - Garrett Hall. For more information, please contact me via the details below.","Tyldesley, Manchester, M29, 01942 877416, 07921 629194",N/A,N/A,N/A
Kath's Kiddie Kingdom,N/A,"My name is Kath and I am an Ofsted Registered Childminder based in Atherton. I am compassionate, loving, caring, motherly, hardworking and reliable.  I live with my husband and 2 young children in my lovely home near Atherton central train station. I have a safe…","Manchester, M46, 07817305016",N/A,N/A,N/A
Katie Flanagan,N/A,"My name is Katie. I am a very positive, confident and hardworking mum of two lovely girls aged 9 and 13 and a wonderful 5-year-old boy. I am a very outgoing and active person. I am creative and my head is always full of ideas…","Hindley, Wigan, WN2, 07894 577421",N/A,N/A,N/A
Katie's Childminding Service,N/A,Lovely family home with large living area. Dining room leads out onto a decked area and canopy and then onto a large lawned garden. We go to a couple of groups a week and trips out into the community. I have lots of toys/activities available…,"Tyldesley, Manchester, M29, 07786 850674",N/A,N/A,N/A
Kelly Fitzsimmons,N/A,"I offer quality care for children from birth onwards in a warm, friendly home-from-home setting. My aim is to promote children's development through play and exploration whilst following the EYFS (Early Years Foundation Stage) framework. The children I care for settle quickly, are very happy…","Wigan Central, Wigan, WN1, 07492 486161",N/A,N/A,N/A
Kelly Pike,N/A,"My name is Kelly Pike, I live with my Husband and 2 children aged 10 and 8 years old, plus our little 1 year old cavapoo. I offer a secure, warm, loving and welcoming home-from-home environment for your children, dedicating the whole of the ground…","Tyldesley, Manchester, M29, 07895 253428",N/A,N/A,N/A
Kim Anne Wilson,N/A,N/A,"Tyldesley, Manchester, M29, 01942 8944 95",N/A,N/A,N/A
Kirsty Aspinall,N/A,N/A,"Standish, Wigan, WN6",N/A,N/A,N/A
Kirsty Saysell,N/A,"This childminder has not yet consented to share their information on the directory, to contact them for more information please email fsd@wigan.gov.uk with their name and we will endeavour to put you in contact with them.","Lowton, Warrington, WA3",N/A,N/A,N/A
Laura Ackers,N/A,Please contact me on the details below for more information. Funding/tax free childcare accepted.,"Wigan, Lancashire, WN6",N/A,N/A,N/A
Laura's Little Learners Childminding,N/A,"I am an Early Years Teacher with a BA Hons degree in Primary Teaching, located in Lowton, near to Lowton Junior and Infant school. I endeavour to find the best way to help each child; as with the right support, every child can progress at…","Lowton, Wigan, WA3",N/A,N/A,N/A
Lauren Williams-Sproat,N/A,N/A,"Marus Bridge, Wigan, WN3, 07577 890190",N/A,N/A,N/A
Lisa Smedley (ECM Childminding),N/A,"We are happy, outgoing people who love taking the children to different places to explore the environment and develop their learning and enjoyment through different areas of learning. We have a son of our own who is 8. I have worked in nurseries for 12…","Hindley, Wigan, WN2, 07756 741306",N/A,N/A,N/A
Little Butterflies Childcare,N/A,"I provide a warm, caring and safe environment with a well equipped, spacious indoor and outdoor area. I offer a fun and friendly, home-from-home setting where children can thrive, learning through play. We like to bake, paint, create arts and crafts, play games and enjoy…","Winstanley, Wigan, WN3, 07793012550",N/A,N/A,N/A
Little Dots Childminding,N/A,Ofsted registered Childminder  Qualifications:  -DBS checked  -Introductory Childminding course -Level 2 supporting teaching and learning -Paediatric First Aid -Autism Awareness -Designated safeguarding lead -Food Safety level 2 -Child Attachment CPD,"Leigh, WN7",N/A,N/A,N/A
Little Explorers Childminding,N/A,"Hi my name is Jenny. I am an Ofsted registered Childminder in Wigan. I live with my husband Lee and children - Bobby and Daisy. I am level 6 qualified in Childcare. I have a degree in Children, Schools and Families. I have worked in…","Hawkley Hall, WIGAN, Lancashire, WN3, 07801256790",N/A,N/A,N/A
Little Treasures,N/A,"I am a fully qualified childminder with BTEC national nursery nursing qualification, DBS checked, qualified first aider and I hold a basic food hygiene certificate.  I attend training on a regular basis and always learning new things. I have employed an assistant to work with me…","Abram, Wigan, WN2, 01942 205665, 07759116409",N/A,N/A,N/A
Liz Holden,N/A,"I am a Ofsted Registered Childminder and a mum to two little girls who are 3 and 7. I have a passion for early years learning, teaching children to be independent and learn through play. I have a beautiful home and garden that I would…","Leigh, WN7, 07920255083",N/A,N/A,N/A
Louise Roche Childminding,N/A,"I live with my partner of 22 years Ian, our 16-year-old daughter Holly, and Bella our 5 year old Cavapoo dog.  Please visit the website below for more information about the service I provide, current vacancies, my qualifications, and my parent references.  I have a spacious home…","Tyldesley, Astley, Manchester, M29, 07578080803",N/A,N/A,N/A
Lyn Harrison,N/A,"My service provides a sound home from home environment where children can learn and develop through play. Linked to EYFS. I am qualified to NVQ Level 3 in Childcare, Learning and Development and have been childminding since January 1996. I have 2 grown up children…","Standish, Wigan, Greater Manchester, WN6, 01257 423365, 07761 931460",N/A,N/A,N/A
Lynn Gaulton,N/A,"My setting is a homely environment where children's individual needs are catered for. The children are at the centre of everything we do and we work in partnership with Parents to achieve happy, confident and healthy outcomes for all children.","Lowton, Warrington, WA3, 01942 272820, 07881 401 616",N/A,N/A,N/A
Lynne Bardsley,N/A,"I currently provide childcare for children of all ages, Monday to Saturday. I also offer before and after-school care to Garrett Hall Primary School.  Please contact me for more details.","Tyldesley, Manchester, M29, 07941 612698",N/A,N/A,N/A
Maria Gildart,N/A,"Hi, I live in the Greyhound area of Leigh. I was awarded a grading of 'Good with Outstanding features' in my most recent Ofsted inspection, July 2022. I have been working as a childminder for 16 years, with previous experience of being a nursery nurse.…","Leigh, WN7, 07949969662",N/A,N/A,N/A
Marie Harrison-Pemberton,N/A,"I have been a registered childminder now for 16 years. I previously worked in a nursery for 9 years as a nursery nurse. I thoroughly enjoy watching the children learn and thrive through play, to give them the same opportunities as my children had. I…","Hindley Green, WIGAN, Lancashire, WN2, 01942 804679, 07724 781 838",N/A,N/A,N/A
Mary Whitehead,N/A,"I provide a happy, safe environment for a small number of children to learn, grow and have fun. I am also a 30 funded hours provider. I am registered with Ofsted. I offer an informal pre-school programme using the EYFS guidance. Children are able to participate…","Hindley Green, WIGAN, Lancashire, WN2, 01942 515839, 07746 749799",N/A,N/A,N/A
Meray Breeze Certified Early Years Professional (EYP),N/A,Having been registered for over 19 years I have undertaken much training (not just the statutory courses) leading to an Open University Level 4 qualification 'Certificate in Early Years Professional (EYP) (Open)'.  My last Ofsted report was graded a good and I now care for children of…,"Leigh, WN7, 07503 173 238",N/A,N/A,N/A
Michael Wilde,N/A,"Wraparound School Childcare for age 5 and over children in my residential premises.  Monday to Friday.term time only. I have been Ofsted Registered for 4 years, previously I was a Football Coach in the local community for many years and have had 4 children of…","Atherton, Manchester, M46",N/A,N/A,N/A
Miki Shika,N/A,"Ekhaya Montessori is a cosy Ofsted registered childcare service provider. We are a Montessori centred setting that follows and abides by the EYFS guidelines. We provide a well-rounded approach of care, support and development to all children in our care. We provide the following services: Childminding…","Wigan, WN6, 07508 510357",N/A,N/A,N/A
Miriam Mude (Kidz Thrive: Ofsted Registered Childminder),N/A,"Your child is my concern and therefore kidz thrive offers a safe, supportive enabling environment for your child to develop and thrive in the setting and be prepared for their next stage. All activities are underpinned by the Early years foundation framework and take the…","Ince, Wigan, Greater Manchester, WN2, 07979 387999",N/A,N/A,N/A
Mrs Dawn Heaps,N/A,I have over 25 years experience of working with children and have been Ofsted registered for over 17 years. I provide a warm and friendly home-from-home environment that supports children's care and education. Families are fully included in their child's care and specific requirements are…,"Appley Bridge, Wigan, WN6, 01257 409692, 07814 932 723",N/A,N/A,N/A
Mrs Julie Jones,N/A,I have been childminding for 30 years. Children enjoy a family environment with plenty of stimulating play and creative activities both indoors and outdoors in my large garden. I attend the local toddler groups where the children play and form friendships. I do baking and messy…,"Astley, Manchester, M29, 07816 107869",N/A,N/A,N/A
Mrs Paula Bennett,N/A,"I have been a Childminder for 19years and at my last inspection in July 2019, I was graded as an 'Outstanding' childcare provision. Before childminding I worked as a HLTA (Higher Level Teaching Assistant) at a local primary school for 10 years. I have two…","Kitt green, WIGAN, Lancashire, WN5, 01942 216038, 07729 133 374",N/A,N/A,N/A
Mrs Tracy Gore,N/A,I have been childminding for 19 years. I am married with 2 children. I also have one dog that is very friendly. My house is a very warm and friendly atmosphere open to all ages. We go on outings to farms and parks. We also…,"Winstanley, Wigan, WN3, 07769 201 603",N/A,N/A,N/A
Natalie Mill,N/A,I have an Early Years background and have always enjoyed working with children and their families. Within our home we have a purpose built playroom where children can access a wide range of age appropriate toys and fun activities relating to the Early Years Foundation…,"Orrell, Wigan, WN5, 07917 274997",N/A,N/A,N/A
Nicola Stones,N/A,"I have been a Childminder since 2004, previous to this I was a qualified nursery nurse. I have an NVQ Level 2 and 3 in childcare and education. I am paediatric first aid trained and I am up to date with my childminding courses. I…","Leigh, WN7, 01942 607 591, 07795 245 647",N/A,N/A,N/A
Pirates and Tiaras,N/A,"I have a comfortable, private, quiet setting which children can feel at home. The cul-de-sac is ideal for dropping off and collecting children safely. I have a good room size which is just for the children to play in with their favourite things and I…","Atherton, Manchester, M46, 07825 702 059",N/A,N/A,N/A
Precious Gems Childminding,N/A,"Precious Gems Childminding was established in 2002 and offers a warm, friendly, caring and happy environment for children aged between 0 -11 years. As your childminder I will provide breakfast, snacks, lunch, evening snacks and drinks. I will provide a variety of activities such as: Outings…","Tyldesley, Manchester, M29, 07743 230745, 01942 896416",N/A,N/A,N/A
Rachael’s Childminding Services,N/A,I am an Ofsted Registered Childminder based in Golborne/Lowton offering affordable childcare in a home from home environment. I live with my partner and our children in a lovely residential area close to local amenities. I have a spacious home and an external dedicated woodland…,"Golborne, Warrington, WA3",N/A,N/A,N/A
Rachel Jane Cowpland,N/A,"I have a loving, caring home for all the children that stay in my care. I have 2 daughters of my own and I know how important it is for parents to know that your child is being well looked after. I like to take…","Wigan, WN1, 07786820993",N/A,N/A,N/A
Rebecca Jane Shone,N/A,This Childminder has not added any information to their page. Please contact them on the details below for more information.,"Tyldesley, Manchester, M29, 07716777037",N/A,N/A,N/A
Rebecca Louise Middlehurst,N/A,"I am an Ofsted Registered 'Good' graded childminder. I provide holistic, individualised care for children aged 0-12 incorporating the 7 areas of learning within a home-from-home environment that is safe, warm and welcoming.  I am linked to Beech Hill Primary School and provide after-school care…","Wigan, WN6, 01942 740132",N/A,N/A,N/A
Sahra Mohamed,Open Monday to Friday,"Hello, I'm Sahra, a compassionate and professional childminder with qualifications as a Level 3 and Level 2 Early Years Educator. My dedication lies in supporting children's early development, providing a nurturing, engaging, and safe environment for them to explore, learn, and grow. As an experienced…","Atherton, Manchester, Lancashire, M46, 07551913286",N/A,N/A,N/A
Sally Carroll (Sally's Childminding Services),N/A,"I am an Ofsted registered 'Outstanding' Childminder based in Tyldesley with 3 children of my own. I offer a home-from-home service, with lots of fun, love and laughter where children can learn and play in my large playroom and outdoor play area. We enjoy cooking,…","Tyldesley, Manchester, M29, 07857 175448",N/A,N/A,N/A
Sam Fairclough,N/A,"We are newly established service compromising of two highly qualified and experienced childcare professionals. We have over thirty years childcare experience between us gained within nursery settings. We aim to provide quality education and experiences in a homely environment where we will encourage independence, confidence…","Warrington, WA3",N/A,N/A,N/A
Sarah Johnston,N/A,"Hello I'm Sarah Johnston, I'm 50 and happily married to Andy, 57. I am a mother of two lovely boys, George 21 and Henry 16.  I have been a registered childminder since December 2008 and was very proud to be awarded a 'Good' grading for…","Ashton-in-Makerfield, WIGAN, Lancashire, WN4, 01942 716910, 07966 017799",N/A,N/A,N/A
Sarah-Jayne Hoole,N/A,N/A,"Lowton, Warrington, WA3",N/A,N/A,N/A
Shell's Home from Home Childminding Service,N/A,At Shell’s Home from Home I strive to provide a warm and welcoming environment for every child and create that ‘home from home’ atmosphere. I currently offer pick-up's and drop-off's for Twelve Apostles RCPS.,"Leigh, WN7, 07445 576591",N/A,N/A,N/A
Susan Winstanley,N/A,"I have 21 years experience in childcare, offering a very warm, happy and safe setting to all children. Very highly recommended by all past and present parents. References can be requested.","Standish, Wigan, WN6, 01257 421242, 07799 144866",N/A,N/A,N/A
