Title,Schedule,Description,Location,Phone,Email,Website
PANS/PANDAS UK Charity,24/7,One estimate suggests that up to 1 in 200 children suffer from this condition   Medical Guidelines https://www.panspandasuk.org/working-group-statement   Resources for parents including diagnostic criteria and details of local support groups Resources for Medical professionals   Resources for teachers and Schools  Teacher training package  Facebook group for parents/caregivers  Facebook group…,N/A,N/A,N/A,N/A
Physiotherapy Service - Children’s,N/A,Our physiotherapy service offers specialist assessment and intervention to promote the health and wellbeing of children and young people.. For further information and how to contact this service please go to the website below.,"Rivington Avenue, Platt Bridge, WIGAN, WN2 5NG",N/A,N/A,N/A
Platt Bridge Health Centre,N/A,For full information on your local Health Centre please go to the website by selecting the link below.,"Rivington Avenue, Platt Bridge, WIGAN, WN2 5NG",N/A,N/A,N/A
Royal Albert Edward Infirmary,The visiting times vary for each ward. For more information call 01942 244000.,"The Royal Albert Edward Infirmary in Wigan (sometimes referred to as Wigan Infirmary) is a redeveloped modern District General Hospital with 513 beds providing a base for emergency and acute work, which is situated close to Wigan Town Centre. Car parking is available on a Pay…","Wigan Lane, WIGAN, LANCASHIRE, WN1 2NN",N/A,N/A,N/A
School Nursing Service,N/A,We are the School Nurse Service for children and young people (5-19 years) who attend a Wigan school or live in Wigan and are educated at home. Please visit the website below for more information.,WN5 9QX,N/A,N/A,N/A
Sexual Health Information and Advice - Wigan Council,N/A,"It's important to pay attention to your sexual health, whether you are in a long term relationship or not. Practising safe sex and always using a condom ensures that you reduce the risk of infection for you and your sexual partner(s) and avoid unwanted pregnancies.…",N/A,N/A,N/A,N/A
Stopping smoking,N/A,"Stopping smoking is one of the best things you can do for your health, reducing your risk of heart attacks, cancer and other serious long-term conditions. It also brings many immediate benefits such as a lower heart rate, and improved blood circulation and lung function.…",WN1 3AP,N/A,N/A,N/A
Stroke Association Wigan Stroke Recovery Service,"Monday, Tuesday, Wednesday, Thursday and Friday","Wigan Stroke Recovery Service provides practical advice, emotional support and high-quality information following a stroke. Whether you are a stroke survivor, carer or family member, we will work with you to identify and address your physical needs through a personalised plan, and support you to…",WN5 9QX,N/A,N/A,N/A
Vitamins,Monday - Tuesday 8:30am - 4:30pm,You can purchase your vitamins from us ONLY  at Platt Bridge  Start Well Family Centre. Adults - 90p Children's Drops - £1.80 or free in receipt of your green vitamins voucher.,"Rivington Avenue, Platt Bridge, Wigan, Lancashire, WN2 5NG, 01942 487999",N/A,N/A,N/A
Vitamins,Monday to Friday between 9:00am and 4:00pm,"We offer free vitamins for Expectant Mums and Breastfeeding Mums as well as Children's Vitamins from 0 to 5 Years. These can be collected between 9:00am and 4:00pm from either:- Family Hub at The Meadows, 110 Ridyard Street, Worsley Hall, Wigan, WN5 9RQ","110 - 116, Ridyard Street, Wigan, WN5 9RQ",N/A,N/A,N/A
Wigan Central Neighbourhood Family Hub (The Meadows),Open Monday to Friday,"Launched on 14th October 2023, Wigan Central Family Hub is the first of seven family hub networks across the borough.  Family hubs will operate as a network of services within your neighbourhood to provide accessible and connected services and support to all families. These services…","110-116, Ridyard Street, Wigan, WN5 9RQ, 01942 488000",N/A,N/A,N/A
"Wrightington, Wigan and Leigh NHS Foundation Trust",N/A,"Wrightington, Wigan and Leigh NHS Foundation Trust offers a very wide range of services. Go to the webiste provided to find local clinics, hospitals and services.",N/A,N/A,N/A,N/A
